profile,recommended_course_id,recommended_course_title,similarity_score
I’ve completed the 'Python Programming for Data Science' course and enjoy data visualization. What should I take next?,C016,Python Programming for Data Science,0.4813772737979889
I’ve completed the 'Python Programming for Data Science' course and enjoy data visualization. What should I take next?,C017,R Programming and Statistical Analysis,0.9587417244911194
I’ve completed the 'Python Programming for Data Science' course and enjoy data visualization. What should I take next?,C014,Data Visualization with Tableau,1.0800856351852417
I’ve completed the 'Python Programming for Data Science' course and enjoy data visualization. What should I take next?,C011,Big Data Analytics with Spark,1.1499607563018799
I’ve completed the 'Python Programming for Data Science' course and enjoy data visualization. What should I take next?,C001,Foundations of Machine Learning,1.207464337348938
I know Azure basics and want to manage containers and build CI/CD pipelines. Recommend courses.,C007,Cloud Computing with Azure,0.8014744520187378
I know Azure basics and want to manage containers and build CI/CD pipelines. Recommend courses.,C009,Containerization with Docker and Kubernetes,0.9846416711807251
I know Azure basics and want to manage containers and build CI/CD pipelines. Recommend courses.,C008,DevOps Practices and CI/CD,1.0664098262786865
I know Azure basics and want to manage containers and build CI/CD pipelines. Recommend courses.,C010,APIs and Microservices Architecture,1.2137607336044312
I know Azure basics and want to manage containers and build CI/CD pipelines. Recommend courses.,C006,Data Engineering on AWS,1.2560970783233643
My background is in ML fundamentals; I’d like to specialize in neural networks and production workflows.,C025,MLOps: Productionizing Machine Learning,0.8788666725158691
My background is in ML fundamentals; I’d like to specialize in neural networks and production workflows.,C002,Deep Learning with TensorFlow and Keras,1.0738056898117065
My background is in ML fundamentals; I’d like to specialize in neural networks and production workflows.,C001,Foundations of Machine Learning,1.193953514099121
My background is in ML fundamentals; I’d like to specialize in neural networks and production workflows.,C005,Reinforcement Learning Basics,1.2631025314331055
My background is in ML fundamentals; I’d like to specialize in neural networks and production workflows.,C004,Computer Vision and Image Processing,1.3140312433242798
I want to learn to build and deploy microservices with Kubernetes—what courses fit best?,C009,Containerization with Docker and Kubernetes,0.6034719944000244
I want to learn to build and deploy microservices with Kubernetes—what courses fit best?,C010,APIs and Microservices Architecture,0.9161224365234375
I want to learn to build and deploy microservices with Kubernetes—what courses fit best?,C007,Cloud Computing with Azure,1.0461424589157104
I want to learn to build and deploy microservices with Kubernetes—what courses fit best?,C025,MLOps: Productionizing Machine Learning,1.1523501873016357
I want to learn to build and deploy microservices with Kubernetes—what courses fit best?,C011,Big Data Analytics with Spark,1.2709262371063232
I’m interested in blockchain and smart contracts but have no prior experience. Which courses do you suggest?,C023,Blockchain Technology and Smart Contracts,0.7357192039489746
I’m interested in blockchain and smart contracts but have no prior experience. Which courses do you suggest?,C010,APIs and Microservices Architecture,1.4094926118850708
I’m interested in blockchain and smart contracts but have no prior experience. Which courses do you suggest?,C022,Internet of Things (IoT) Development,1.4805781841278076
I’m interested in blockchain and smart contracts but have no prior experience. Which courses do you suggest?,C005,Reinforcement Learning Basics,1.4836094379425049
I’m interested in blockchain and smart contracts but have no prior experience. Which courses do you suggest?,C021,Cybersecurity Fundamentals,1.5111247301101685
